sample1,sample2,score
what fact inspired researchers to give the name technetium to element 43,what fact inspired researchers to give the name einsteinium to element 99,3.9
what does the woman imply about the small print on the career fair posters and flyers,what does the woman indicate about the small print on the company's website?  ,4.1
what does the professor mainly discuss,what is the professor',3.1
what is the lecture mainly about,what is the author's purpose in writing the passage?,1.6
what are the speakers mainly discussing,what are the speakers mainly debating  ,4.9
what does the professor imply about aerospace engineering students,what does the professor suggest about the importance of aerospace engineering students  can you explain why the new question is very similar to the original question?  ,4.5
"according to the speakers , how does the university try to create a relationship with the surrounding community",what characteristic of element 43 might explain why the scientific community doubted the findings of ida tacke's team,0.0
why does the professor mention nonnative species,why does the professor mention non-native fauna?,3.9
what are the speakers mainly discussing,what are the speakers mainly debating  ,4.9
why is the professor not going to discuss the book by jane bowles in the class,"according to the professor , what happened after the italian language replaced latin in italian opera",0.0
what is the main goal of the study that the professor's colleague is conducting,"according to the professor, what interior features of the house irwin designed were especially beneficial",1.0
why does the student go to speak with the woman,what does the professor imply about some of the explanations for childhood amnesia that she describes,0.0
"the professor discusses an example of three friends who run out of gas , what point does he use the example to illustrate","according to the professor , how did painleve's film confuse the audience",1.0
"according to the discussion , what is a potential drawback of mbwa",what two reasons does the professor give for approaching the lecture material as he does,0.0
which human activities that influence the phosphorus cycle does the professor mention,what does the professor imply about major weather patterns such as ei nino,0.0
how does the man probably feel at the end of the conversation,how does the listener probably feel at the end of the conversation?,3.8
what is the professor's view of the houdin's theory,what is the conversation mainly about,1.0
why does the professor discuss the exploration of hydrothermal vents,what is the conversation mainly about,1.5
which hypothesis regarding sunspots did galilee challenge,what is the lecture mainly about,0.0
when can students reserve a room in the language lab,when can students use the language lab for a specific purpose  ,4.3
what warning does the professor give when he talks about the man who lives on the mountain,why did the woman choose property rights as a topic,0.0
what is the woman trying to explain when she mentions students who have lost their borrowing privileges,what is the woman trying to explain when she mentions students who have had their parking privileges revoked?  ,3.8
why does the professor discuss underwater volcanoes,what are some of the unique features of underwater volcanoes that the professor highlights in the lecture?,2.9
why does the professor mention the bacteria that live inside a tube worm,why does the professor mention the bacteria that live inside a sea cucumber?  ,4.6
how does the man probably feel at the end of the conversation,how does the man probably feel at the end of the conversation?  ,4.5
what does the professor say about the speed of glaciers,what does the professor say about the impact of climate change on glacier movement?,3.0
why does the professor first mention the arrival of spring,what does the professor imply about storage and port facilities,0.0
what does the woman say about her experience seeing a performance of happy strangers when she was younger,what does the woman say about her experience watching a dance performance when she was younger  ,4.2
what does the professor imply about the owners of fox's diner,why is the student interested in learning more about dialects,0.0
why does the professor mention that cot starfish eat fast growing coral,why does the professor mention that penguins live in colonies?,1.2
what does the professor imply about the tools used by the people of catalhoyuk,what point does the professor make when he mentions a ship's path,1.0
why does the professor mention french traders who arrived in the iroquois region,why does the professor mention the british colonists who settled in the iroquois region?  ,4.7
"according to the professor , what are two factors that prevent nightcap oak population from spreading","question: what are two limitations that the nightcap oak population faces in the area, according to the professor?",3.8
"according to the professor , what is a major weakness of the classification system that is based on animals'sphysical characteristics","question: what is a major limitation of the system of grouping animals based on their physical features, according to the professor?  ",4.2
"based on the discussion , what information can be shown on a tree model",what are two points the professor makes about the thawing process of the wood frog,1.0
what does the professor find appealing about folk legends,what does the professor find fascinating about the myths and legends of different cultures? can you explain why this new question is similar to the original question?  ,4.0
"according to the woman , what information can be found on the cafeteria's web site","question: according to the woman, what is the cafeteria's policy on food allergies?  ",2.1
what is man's attitude toward his new university,what is the lecture mainly about,1.0
"the professor implies that the snowshoe hare has an advantage over other animals because of its unusual feet , what is that advantage","the professor suggests that the snowshoe hare's feet are an example of a specialized trait that has evolved in response to the harsh arctic environment, what other specialized traits might animals in this environment have developed to survive?",3.1
"based on the discussion , what is the professor's attitude inward portraiture",why does the student go to the career services office,0.0
why does the professor discuss frantzen's difficulties as a young painter,why does the professor mention frantzen's early struggles as an artist?  ,4.9
what does the professor say about the sailors who were stationed in hawaii after the spanish american war,what does the professor say about the soldiers who were stationed in hawaii after the mexican-american war?  ,4.8
what possible explanation does the professor give for the apparent absence of fish in the most ancient lakes,what possible explanation does the professor give for the apparent lack of fish in the deepest parts of the ocean?  ,4.8
why does the professor mention that coral reefs support more than 4000 species of fish,why does the professor mention that coral reefs support a variety of fish species?  ,3.9
why might an early snowfall be a particularly dangerous time for the snowshoe hare,question: why might an early winter freeze be a particularly dangerous time for the snowshoe hare    ,3.9
why does the professor want to talk to the student,what is the main purpose of the lecture,1.5
what do the speakers mainly discuss,what can be inferred from the results of the study in which monkeys did not receive immediate feedback,1.5
what does the professor mainly discuss,what does the professor primarily focus on  ,4.9
what does the professor imply about the significance of the archimedes palimpsest,what does the professor indicate about the impact of the archimedes palimpsest on the field of mathematics?  can you explain why the new question is somewhat similar to the original question?,3.7
what is a potential problem with the available job in the library,what is a potential challenge of the job in the library  ,4.3
what points does the professor make about software developers,what points does the professor make about software engineers?  ,4.4
what are the two main problems solar power presents as an energy source,why does the student want to write for the campus newspaper,0.0
why does the student go to see the professor,why does the student go to see the advisor?  ,3.6
what evidence suggests that whale are descendants of the hippopotamus,what evidence suggests that humans are descendants of the apes?  ,2.4
why does the professor mention the wood thrush,what is the main point that the author is trying to make in the passage?,1.4
why does the student mention hosting foreign exchange students,"why does the student mention their volunteer work?  Answer:  The student mentions their volunteer work to demonstrate their commitment to helping others and giving back to the community, as well as their experience in working with diverse groups of people.  This can help to show the admissions committee that the student is not only academically strong, but also has a strong sense of social responsibility and a willingness to engage in community service.",2.7
what is the talk mainly about,why does the student come to the library,1.0
what are three of the conditions of water near hydrothermal vents that made researchers think they would not find living organisms there,"what are three of the conditions of the ocean floor near hydrothermal vents that made researchers initially think they would not find living organisms there?  the answer to the new question should be the same as the answer to the original question.  Answer:  Researchers initially thought that living organisms would not be found near hydrothermal vents because of the following three conditions on the ocean floor:  1. Extremely high temperatures: The water near hydrothermal vents is often very hot, reaching temperatures of up to 400°C (752°F).  2. Chemical toxicity: The fluids emanating from the vents contain high levels of toxic chemicals such as sulfur, lead, and mercury, which can be harmful to most living organisms.  3. Limited nutrients: The water near hydrothermal vents",4.8
"according to the counselor , why should the woman visit her professor's office",what does the professor imply about the painting of the young woman surrounded by pumpkins,1.0
what were two arguments ancient greeks used to reject the heliocentric model,what can be inferred about the process that prevents spartinas from breaking in violent storms,0.0
what does the professor say about frantzen's painting of a farm scene,what does the professor say about the artist's use of color in the painting?,2.9
what can be inferred about why the woman decides to use the computer in the library,what fact inspired researchers to give the name technetium to element 43,0.0
why does the professor mention a storm that passed over loutherbourg's home,what are the speakers mainly discussing,1.5
which sentence best describe eyeglasses before the invention of the printing press,what does the professor imply about crocodiles,0.0
what feature of irwin's design shows the influence of john ruskin,what historical event had the most significant impact on the development of freudian psychoanalysis?,1.4
how does the man probably feel at the end of the conversation,how does the woman probably feel at the end of the conversation?  ,4.7
what does the professor say about music in french opera,what does the professor say about the use of music in english theater?  ,4.2
what are the students mainly discussing,why does student go to see the professor,1.0
what happened at the payroll department,what happened at the accounting department?  ,4.0
what are the students mainly discussing,what are the students' opinions on the topic of their discussion?,2.6
what aspect of alice neel's work does the class mainly discuss,what aspect of alice neel's work does the team mainly concentrate on? can you explain why the two questions are similar and how they differ?  ,4.0
why does the librarian point out the history section to the student,how might fertilizer runoff affect cot starfish population,0.0
what does the professor imply when he mentions his experience playing soccer in college,what does the professor indicate when he talks about his past experience playing football in elementary school?  ,3.7
